action_block,start_time,end_time,action,avg_charge,avg_discharge,soc_start,soc_end,soc_pct_start,soc_pct_end,MW_instruction,SOC_instruction
11,2024-12-24 17:00,2024-12-24 18:00,DISCHARGE,0.0,4.04,8.51,0.0,42.6,0.0,From 2024-12-24 17:00 to 2024-12-24 18:00 → DISCHARGE at ~4.04 MW,From 2024-12-24 17:00 → SoC 42.6% → 0.0% during DISCHARGE
12,2024-12-24 19:00,2024-12-25 06:00,HOLD,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-24 19:00 to 2024-12-25 06:00 → HOLD at ~0.0 MW,From 2024-12-24 19:00 → SoC 0.0% → 0.0% during HOLD
13,2024-12-25 07:00,2024-12-25 08:00,SELL,0.0,0.0,0.0,0.0,0.0,0.0,From 2024-12-25 07:00 to 2024-12-25 08:00 → SELL at ~0.0 MW,From 2024-12-25 07:00 → SoC 0.0% → 0.0% during SELL
14,2024-12-25 09:00,2024-12-25 16:00,CHARGE,1.84,0.0,0.0,13.98,0.0,69.9,From 2024-12-25 09:00 to 2024-12-25 16:00 → CHARGE at ~1.84 MW,From 2024-12-25 09:00 → SoC 0.0% → 69.9% during CHARGE
15,2024-12-25 17:00,2024-12-25 17:00,HOLD,0.0,0.0,13.98,13.98,69.9,69.9,From 2024-12-25 17:00 to 2024-12-25 17:00 → HOLD at ~0.0 MW,From 2024-12-25 17:00 → SoC 69.9% → 69.9% during HOLD
16,2024-12-25 18:00,2024-12-25 19:00,DISCHARGE,0.0,5.0,13.98,3.46,69.9,17.3,From 2024-12-25 18:00 to 2024-12-25 19:00 → DISCHARGE at ~5.0 MW,From 2024-12-25 18:00 → SoC 69.9% → 17.3% during DISCHARGE
17,2024-12-25 20:00,2024-12-25 21:00,HOLD,0.0,0.0,3.46,3.46,17.3,17.3,From 2024-12-25 20:00 to 2024-12-25 21:00 → HOLD at ~0.0 MW,From 2024-12-25 20:00 → SoC 17.3% → 17.3% during HOLD
18,2024-12-25 22:00,2024-12-25 22:00,DISCHARGE,0.0,3.28,3.46,0.01,17.3,0.0,From 2024-12-25 22:00 to 2024-12-25 22:00 → DISCHARGE at ~3.28 MW,From 2024-12-25 22:00 → SoC 17.3% → 0.0% during DISCHARGE
19,2024-12-25 23:00,2024-12-26 06:00,HOLD,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-25 23:00 to 2024-12-26 06:00 → HOLD at ~0.0 MW,From 2024-12-25 23:00 → SoC 0.0% → 0.0% during HOLD
20,2024-12-26 07:00,2024-12-26 09:00,SELL,0.0,0.0,0.01,0.01,0.0,0.0,From 2024-12-26 07:00 to 2024-12-26 09:00 → SELL at ~0.0 MW,From 2024-12-26 07:00 → SoC 0.0% → 0.0% during SELL
