Temperature,Dew Point,Relative Humidity,Pressure,Wind Speed,Wind Direction,Clearsky GHI,Clearsky DNI,Clearsky DHI,DNI,Hour,Month,GHI
12.216397849462366,0.0838709677419354,44.02448924731183,951.4354838709676,1.1333333333333333,59.62903225806452,0.0,0.0,0.0,0.0,5.0,11.0,0.0
11.98763440860215,-0.6698924731182796,42.35752688172043,951.1908602150538,1.170967741935484,75.98387096774194,0.0,0.0,0.0,0.0,6.0,11.0,0.0
11.63736559139785,-1.6387096774193548,40.40368279569893,950.733870967742,1.24247311827957,91.99462365591398,0.0,0.0,0.0,0.0,7.0,11.0,0.0
11.248118279569892,-2.6043010752688174,38.579112903225806,950.244623655914,1.2951612903225806,85.44086021505376,0.0,0.0,0.0,0.0,8.0,11.0,0.0
10.993279569892474,-3.638172043010753,36.28674731182796,949.8870967741937,1.3008064516129034,78.70967741935483,0.0,0.0,0.0,0.0,9.0,11.0,0.0
10.929301075268818,-4.4750000000000005,34.248521505376345,949.6801075268816,1.3048387096774194,91.75806451612904,0.0,0.0,0.0,0.0,10.0,11.0,0.0
10.906989247311827,-5.08494623655914,32.81217741935484,949.6586021505376,1.3336021505376343,99.38709677419357,0.0,0.0,0.0,0.0,11.0,11.0,0.0
10.760752688172044,-5.413709677419355,32.36408602150538,949.744623655914,1.3725806451612903,100.16129032258064,0.0,0.0,0.0,0.0,12.0,11.0,0.0
10.486021505376344,-5.688172043010753,32.27927419354839,949.8548387096774,1.4481182795698926,96.38172043010752,0.0,0.0,0.0,0.0,13.0,11.0,0.0
11.418817204301076,-5.952688172043011,29.746344086021505,950.0698924731184,1.4260752688172045,96.2741935483871,33.473118279569896,267.38978494623655,20.521505376344088,267.09139784946234,14.0,11.0,33.44892473118279
14.309677419354838,-5.794354838709677,24.96771505376344,950.3736559139784,1.7486559139784943,100.60752688172045,219.22043010752688,716.3629032258065,48.31720430107527,715.494623655914,15.0,11.0,219.1236559139785
17.5002688172043,-5.159408602150537,21.503682795698925,950.5456989247313,1.9473118279569892,110.94086021505376,412.7043010752688,866.1747311827957,62.15860215053763,866.1747311827957,16.0,11.0,412.7043010752688
19.86881720430107,-4.310752688172044,19.876397849462368,950.3575268817204,1.6790322580645165,124.0752688172043,570.0322580645161,943.247311827957,67.63440860215054,943.247311827957,17.0,11.0,570.0322580645161
