datetime_utc,Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm)
2024-02-25 23:00:00+00:00,2024.0,2.0,25.0,23.0,30.0,15.018548387096775,1.1184677419354838,0.1002741935483871,0.6497043010752688,86.62903225806451,757.5,405.63440860215053,0.0,6.287634408602151,10.310215053763441,197.91666666666666,63.89784946236559,0.0,224.81720430107526,0.28071236559139784,73.81172043010753,65.08728494623657,0.9251612903225808,0.14451612903225805,950.0268817204301,1.4239247311827958,252.46774193548387,1.89247311827957,11.983211021505376
2024-02-26 00:00:00+00:00,2024.0,2.0,26.0,0.0,30.0,13.59247311827957,1.0985215053763442,0.1047204301075269,0.6497043010752688,65.47043010752688,556.8306451612904,196.0215053763441,0.0,6.545698924731183,11.096505376344085,84.22849462365592,9.244623655913978,0.0,86.38440860215054,0.2828252688172043,85.18739247311828,76.42895161290322,0.9338172043010753,0.14443548387096775,950.2849462365591,1.3631720430107528,262.9301075268817,1.6013440860215056,4.175058064516129
2024-02-26 01:00:00+00:00,2024.0,2.0,26.0,1.0,30.0,12.642741935483873,1.0863172043010754,0.11349462365591398,0.6497043010752688,16.123655913978496,95.16397849462365,19.002688172043012,5.354838709677419,6.440860215053763,11.234408602150538,9.666666666666666,0.09408602150537634,76.25,9.666666666666666,0.2854274193548387,91.34935483870967,88.27994623655914,0.9349999999999999,0.14443548387096775,950.7768817204301,1.2916666666666667,276.0483870967742,1.6491935483870968,0.0
2024-02-26 02:00:00+00:00,2024.0,2.0,26.0,2.0,30.0,12.291397849462365,1.0764247311827957,0.1126263440860215,0.6497043010752688,0.0,0.0,0.0,0.0,6.489247311827957,11.146505376344086,0.0,0.0,0.0,0.0,0.28734408602150535,92.92631720430109,101.04567204301075,0.9299462365591398,0.14443548387096775,951.3413978494624,1.2201612903225807,287.10215053763443,1.6903225806451614,0.0
2024-02-26 03:00:00+00:00,2024.0,2.0,26.0,3.0,30.0,11.980645161290322,1.0758064516129033,0.10979032258064515,0.6497043010752688,0.0,0.0,0.0,0.0,6.986559139784946,11.033333333333333,0.0,0.0,0.0,0.0,0.2882043010752688,94.10067204301075,113.61825268817203,0.9300537634408602,0.14443548387096775,951.7231182795699,1.146236559139785,296.89784946236557,1.4314516129032258,0.0
2024-02-26 04:00:00+00:00,2024.0,2.0,26.0,4.0,30.0,11.548387096774194,1.0815322580645161,0.10675537634408602,0.6497043010752688,0.0,0.0,0.0,0.0,7.029569892473118,10.821505376344085,0.0,0.0,0.0,0.0,0.2887795698924731,95.4655376344086,126.0259946236559,0.9306451612903226,0.14443548387096775,951.763440860215,1.0935483870967742,277.1182795698925,1.1583333333333334,0.0
2024-02-26 05:00:00+00:00,2024.0,2.0,26.0,5.0,30.0,11.084139784946236,1.0936827956989248,0.09974193548387096,0.6497043010752688,0.0,0.0,0.0,0.0,6.938172043010753,10.473387096774193,0.0,0.0,0.0,0.0,0.28977150537634405,96.17416666666666,137.84470430107527,0.9294623655913978,0.14443548387096775,951.497311827957,1.0572580645161291,260.51075268817203,1.0190860215053763,0.0
2024-02-26 06:00:00+00:00,2024.0,2.0,26.0,6.0,30.0,10.608064516129032,1.1057795698924733,0.09547580645161291,0.6497043010752688,0.0,0.0,0.0,0.0,6.932795698924731,10.059677419354838,0.0,0.0,0.0,0.0,0.29078494623655915,96.5430376344086,148.18155913978495,0.9270430107526882,0.14443548387096775,951.0295698924731,1.0489247311827956,273.51075268817203,0.9258064516129033,0.0
2024-02-26 07:00:00+00:00,2024.0,2.0,26.0,7.0,30.0,10.133064516129032,1.1111021505376346,0.09033064516129033,0.6497043010752688,0.0,0.0,0.0,0.0,7.0,9.615591397849462,0.0,0.0,0.0,0.0,0.2914489247311828,96.72166666666666,154.94916666666668,0.9218817204301075,0.14443548387096775,950.6344086021505,1.071236559139785,272.7795698924731,0.8241935483870968,0.0
2024-02-26 08:00:00+00:00,2024.0,2.0,26.0,8.0,30.0,9.733064516129032,1.1084946236559141,0.08268548387096775,0.6497043010752688,0.0,0.0,0.0,0.0,7.0,9.140860215053763,0.0,0.0,0.0,0.0,0.2920645161290322,96.24357526881721,154.97319892473118,0.9194086021505378,0.14443548387096775,950.266129032258,1.1483870967741936,245.51075268817203,0.853494623655914,0.0
